Location	Source	Last observation date	Vaccines
El Salvador	Ministry of Health	Apr. 29, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac
England	Government of the United Kingdom	Apr. 30, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Equatorial Guinea	Ministry of Health	Apr. 28, 2021	Sinopharm/Beijing
Estonia	National Health Board	May. 1, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Eswatini	Government of Eswatini	Apr. 25, 2021	Oxford/AstraZeneca
Ethiopia	Ministry of Health	Apr. 8, 2021	Oxford/AstraZeneca
Faeroe Islands	Government of the Faeroe Islands	Apr. 28, 2021	Moderna, Pfizer/BioNTech
Falkland Islands	Government of the Falkland Islands	Apr. 14, 2021	Oxford/AstraZeneca
Fiji	Ministry of Health	Apr. 16, 2021	Oxford/AstraZeneca
Finland	Finnish Institute for Health and Welfare	May. 1, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
France	Public Health France	Apr. 30, 2021	Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Gabon	Ministry of Health	Apr. 23, 2021	Sinopharm/Beijing
Gambia	Ministry of Health	Apr. 24, 2021	Oxford/AstraZeneca
Georgia	Government of Georgia	Apr. 30, 2021	Oxford/AstraZeneca
Germany	Robert Koch Institut	Apr. 29, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Ghana	Government of Ghana	Apr. 26, 2021	Oxford/AstraZeneca
Gibraltar	Government of Gibraltar	Apr. 30, 2021	Pfizer/BioNTech
Greece	Ministry of Health	Apr. 30, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Greenland	Government of Greenland	Apr. 29, 2021	Pfizer/BioNTech
Grenada	Government of Grenada	Apr. 29, 2021	Oxford/AstraZeneca
Guatemala	Ministry of Health	Apr. 30, 2021	Moderna, Oxford/AstraZeneca
Guernsey	Government of Guernsey	Apr. 20, 2021	Oxford/AstraZeneca, Pfizer/BioNTech
Guinea	National Health Security Agency	Apr. 29, 2021	Sputnik V
Guyana	Ministry of Health	Apr. 26, 2021	Oxford/AstraZeneca
Honduras	Government of Honduras	Apr. 9, 2021	Moderna, Oxford/AstraZeneca
Hong Kong	Government of Hong Kong	May. 1, 2021	Pfizer/BioNTech, Sinovac
Hungary	Government of Hungary	Apr. 30, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V
Iceland	Directorate of Health	Apr. 30, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
India	Government of India	May. 1, 2021	Covaxin, Oxford/AstraZeneca
Indonesia	Ministry of Health	Apr. 30, 2021	Oxford/AstraZeneca, Sinovac
Iran	Government of Iran	Apr. 30, 2021	Oxford/AstraZeneca, Sputnik V
Iraq	Ministry of Health	Apr. 23, 2021	Oxford/AstraZeneca, Sinopharm/Beijing
Ireland	Heath Service Executive	Apr. 30, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Isle of Man	Isle of Man Government	May. 1, 2021	Oxford/AstraZeneca, Pfizer/BioNTech
Israel (see FAQ)	Government of Israel	May. 1, 2021	Moderna, Pfizer/BioNTech
Italy	Extraordinary commissioner for the Covid-19 emergency	May. 1, 2021	Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Jamaica	Government of Jamaica	Apr. 13, 2021	Oxford/AstraZeneca
Japan	Prime Minister’s Office	Apr. 29, 2021	Pfizer/BioNTech
Jersey	Government of Jersey	Apr. 25, 2021	Oxford/AstraZeneca, Pfizer/BioNTech
Jordan	Government of Jordan	Apr. 29, 2021	Pfizer/BioNTech, Sinopharm/Beijing
Kazakhstan	Government of Kazakhstan	Apr. 28, 2021	Sputnik V
Kenya	Ministry of Health	Apr. 28, 2021	Oxford/AstraZeneca, Sputnik V
Kosovo	Ministry of Health	Apr. 23, 2021	Oxford/AstraZeneca
Kuwait	Ministry of Health	Apr. 25, 2021	Pfizer/BioNTech
Kyrgyzstan	Ministry of Health	Apr. 28, 2021	Sinopharm/Beijing, Sputnik V
Laos	Government of Laos	Apr. 26, 2021	Sinopharm/Beijing, Sputnik V
Latvia	National Health Service	May. 1, 2021	Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Lebanon	Government of Lebanon	May. 1, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V
Lesotho	Government of Lesotho	Apr. 17, 2021	Oxford/AstraZeneca
Libya	Government of National Unity	Apr. 17, 2021	Oxford/AstraZeneca, Sinovac, Sputnik V
Liechtenstein	Federal Office of Public Health	Apr. 28, 2021	Moderna, Pfizer/BioNTech
Lithuania	Ministry of Health	May. 1, 2021	Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Luxembourg	Government of Luxembourg	Apr. 29, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Macao	Government of Macao	May. 1, 2021	Pfizer/BioNTech, Sinopharm/Beijing
Malawi	Ministry of Health	Apr. 30, 2021	Oxford/AstraZeneca
Malaysia	Government of Malaysia	Apr. 29, 2021	Pfizer/BioNTech, Sinovac
Maldives	Presidency of the Maldives	Apr. 29, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Mali	Ministry of Health	Apr. 25, 2021	Oxford/AstraZeneca
Malta	COVID-19 Malta Public Health Response Team	May. 1, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Mauritania	Ministry of Health	Apr. 18, 2021	Sinopharm/Beijing
Mauritius	National Communication Committee on COVID-19	Mar. 24, 2021	Oxford/AstraZeneca
Mexico	Secretary of Health	May. 1, 2021	CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V
Moldova	Ministry of Health	Apr. 30, 2021	Oxford/AstraZeneca
Monaco	National Council	Apr. 22, 2021	Pfizer/BioNTech
Mongolia	Ministry of Health via ikon.mn	May. 1, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V
Montenegro	Government of Montenegro	May. 1, 2021	Sinopharm/Beijing, Sputnik V
Montserrat	Government of Montserrat	Apr. 21, 2021	Oxford/AstraZeneca
Morocco	Ministry of Health	May. 1, 2021	Oxford/AstraZeneca, Sinopharm/Beijing
Mozambique	Deputy National Director of Public Health	Mar. 23, 2021	Sinopharm/Beijing
Myanmar	Ministry of Health	Mar. 31, 2021	Oxford/AstraZeneca
Namibia	Ministry of Health and Social Services	Apr. 28, 2021	Oxford/AstraZeneca, Sinopharm/Beijing
Nauru	Government of the Republic of Nauru	Apr. 15, 2021	Oxford/AstraZeneca
Nepal	Government of Nepal	Apr. 28, 2021	Oxford/AstraZeneca, Sinopharm/Beijing
Netherlands	National Institute for Public Health and the Environment	Apr. 28, 2021	Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
New Zealand	Ministry of Health	Apr. 27, 2021	Pfizer/BioNTech
Nicaragua	Ministerio de Salud de la República de Nicaragua	Apr. 14, 2021	Oxford/AstraZeneca, Sputnik V
Niger	Government of Niger	Apr. 17, 2021	Sinopharm/Beijing
Nigeria	Government of Nigeria	Apr. 28, 2021	Oxford/AstraZeneca
North Macedonia	Government of North Macedonia	Apr. 30, 2021	Pfizer/BioNTech
Northern Cyprus	Ministry of Health	Apr. 23, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac
Northern Ireland	Government of the United Kingdom	Apr. 30, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Norway	Norwegian Institute of Public Health	Apr. 29, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Oman	Ministry of Health	Apr. 28, 2021	Oxford/AstraZeneca, Pfizer/BioNTech
Pakistan	National Command and Operation Centre	Apr. 14, 2021	CanSino, Sinopharm/Beijing, Sinovac, Sputnik V
Palestine (see FAQ)	Ministry of Health	Apr. 25, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Panama	Ministry of Health	Apr. 30, 2021	Oxford/AstraZeneca, Pfizer/BioNTech
Papua New Guinea	Government of Papua New Guinea	Apr. 25, 2021	Oxford/AstraZeneca
Paraguay	Government of Paraguay	Apr. 27, 2021	Sputnik V
Peru	Ministry of Health	Apr. 30, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Philippines	Government of the Philippines	May. 1, 2021	Oxford/AstraZeneca, Sinovac
Poland	Ministry of Health	May. 1, 2021	Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Portugal	Directorate General for Health via Data Science for Social Good	May. 1, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Qatar	Ministry of Public Health	May. 1, 2021	Pfizer/BioNTech
Romania	Government of Romania	Apr. 30, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Russia	Official data from local governments via gogov.ru	May. 1, 2021	EpiVacCorona, Sputnik V
Rwanda	Ministry of Health	Apr. 30, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Saint Helena	Government of Saint Helena	Apr. 9, 2021	Oxford/AstraZeneca
Saint Kitts and Nevis	Government of Saint Kitts and Nevis	Apr. 21, 2021	Oxford/AstraZeneca
Saint Lucia	Ministry of Health	May. 1, 2021	Oxford/AstraZeneca
Saint Vincent and the Grenadines	Ministry of Health	Apr. 24, 2021	Oxford/AstraZeneca
Samoa	Ministry of Health	Apr. 30, 2021	Oxford/AstraZeneca
San Marino	Social Security Institute	Apr. 29, 2021	Pfizer/BioNTech, Sputnik V
Sao Tome and Principe	Ministry of Health	Mar. 29, 2021	Oxford/AstraZeneca
Saudi Arabia	Saudi Health Council	May. 1, 2021	Oxford/AstraZeneca, Pfizer/BioNTech
Scotland	Government of the United Kingdom	Apr. 30, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Senegal	Ministry of Health	Apr. 30, 2021	Sinopharm/Beijing
Serbia	Government of Serbia	May. 1, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V
Seychelles	Extended Programme for Immunisation	Apr. 29, 2021	Oxford/AstraZeneca, Sinopharm/Beijing
Sierra Leone	Ministry of Health and Sanitation	Apr. 29, 2021	Oxford/AstraZeneca
Singapore	Ministry of Health	Apr. 18, 2021	Moderna, Pfizer/BioNTech
Slovakia	Ministry of Health	May. 1, 2021	Pfizer/BioNTech
Slovenia	National Institute of Public Health via Sledilnik	May. 1, 2021	Oxford/AstraZeneca, Pfizer/BioNTech
Solomon Islands	Government of the Solomon Islands	Apr. 27, 2021	Oxford/AstraZeneca
Somalia	Federal Government of Somalia	Apr. 17, 2021	Oxford/AstraZeneca, Sinopharm/Beijing
South Africa	Ministry of Health	May. 1, 2021	Johnson&Johnson
South Korea	Korea Centers for Disease Control and Prevention	May. 1, 2021	Oxford/AstraZeneca, Pfizer/BioNTech
South Sudan	Government of South Sudan	Apr. 15, 2021	Oxford/AstraZeneca
Spain	Ministry of Health	Apr. 29, 2021	Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Sri Lanka	Ministry of Health’s Epidemiology Unit	May. 1, 2021	Oxford/AstraZeneca, Sinopharm/Beijing
Sudan	Federal Ministry of Health	Apr. 23, 2021	Oxford/AstraZeneca
Suriname	Government of Suriname	May. 1, 2021	Oxford/AstraZeneca
Sweden	Public Health Agency of Sweden	Apr. 30, 2021	Oxford/AstraZeneca, Pfizer/BioNTech
Switzerland	Federal Office of Public Health	Apr. 28, 2021	Moderna, Pfizer/BioNTech
Syria	Ministry of Health	Apr. 8, 2021	Sputnik V
Taiwan	Taiwan Centers for Disease Control	Apr. 30, 2021	Oxford/AstraZeneca
Thailand	Government of Thailand	May. 1, 2021	Oxford/AstraZeneca, Sinovac
Timor	Government of Timor-Leste	Apr. 14, 2021	Oxford/AstraZeneca
Togo	Government of Togo	Apr. 17, 2021	Oxford/AstraZeneca
Tonga	Government of Tonga	Apr. 26, 2021	Oxford/AstraZeneca
Trinidad and Tobago	Ministry of Health	May. 1, 2021	Oxford/AstraZeneca
Tunisia	Ministry of Health	Apr. 29, 2021	Pfizer/BioNTech, Sinovac, Sputnik V
Turkey	COVID-19 Vaccine Information Platform	May. 1, 2021	Pfizer/BioNTech, Sinovac
Turks and Caicos Islands	Ministry of Health	Apr. 11, 2021	Pfizer/BioNTech
Uganda	Ministry of Health	Apr. 28, 2021	Oxford/AstraZeneca
Ukraine	Ministry of Health	May. 1, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac
United Arab Emirates	National Emergency Crisis and Disaster Management Authority	May. 1, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V
United Kingdom	Government of the United Kingdom	Apr. 30, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
United States	Centers for Disease Control and Prevention	May. 1, 2021	Johnson&Johnson, Moderna, Pfizer/BioNTech
Uruguay	Ministry of Health	May. 1, 2021	Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac
Uzbekistan	Government of Uzbekistan	Apr. 27, 2021	Oxford/AstraZeneca
Venezuela	Government of Venezuela	Apr. 12, 2021	Sputnik V
Vietnam	Government of Vietnam	Apr. 29, 2021	Oxford/AstraZeneca
Wales	Government of the United Kingdom	Apr. 29, 2021	Moderna, Oxford/AstraZeneca, Pfizer/BioNTech
Zambia	Government of Zambia	Apr. 30, 2021	Oxford/AstraZeneca
Zimbabwe	Ministry of Health	Apr. 30, 2021	Sinopharm/Beijing
